gender,  age, family,  income,  marital, education, period, mailing, recent, total
0, 44, 2, 64, 1, 4, 13, 0, 3.7, 37.45
0, 33, 6, 136, 1, 5, 11, 0, 4.4, 42
1, 52, 2, 116, 1, 1, 68, 0, 18.15, 1300.6
1, 33, 1, 33, 0, 2, 33, 0, 9.45, 288.8
0, 30, 4, 30, 1, 1, 23, 0, 6.3, 157.05
1, 39, 1, 78, 0, 2, 41, 0, 11.8, 487.4
1, 22, 5, 19, 1, 2, 45, 1, 10.9, 504.5
0, 35, 3, 76, 0, 2, 38, 1, 6.05, 239.55
0, 59, 5, 166, 1, 4, 45, 0, 9.75, 449.05
0, 41, 3, 72, 1, 1, 68, 0, 24.15, 1659.7
1, 33, 1, 125, 0, 4, 5, 1, 4.85, 17.25
1, 35, 1, 80, 0, 2, 7, 0, 7.1, 47.45
1, 38, 3, 37, 1, 2, 41, 0, 8.55, 308.7
1, 54, 3, 115, 1, 4, 57, 1, 15.6, 825.35
1, 46, 2, 25, 0, 1, 9, 0, 4.4, 36.8
0, 38, 4, 75, 1, 5, 29, 0, 5.1, 146.25
0, 57, 1, 162, 0, 2, 60, 0, 16.15, 946.9
1, 48, 3, 49, 0, 2, 34, 0, 6.65, 230.8
0, 24, 1, 20, 0, 1, 1, 0, 1.05, 1.05
0, 29, 4, 77, 1, 4, 26, 1, 6.7, 140.95
1, 30, 1, 16, 0, 3, 6, 0, 3.75, 25.65
0, 52, 2, 120, 1, 1, 68, 0, 20.7, 1391.05
1, 33, 2, 101, 0, 5, 53, 1, 5.3, 253.35
0, 48, 3, 67, 1, 1, 55, 0, 15.05, 810.45
0, 43, 5, 36, 1, 1, 14, 0, 12.5, 153.75
1, 21, 3, 33, 0, 2, 1, 0, 2.2, 2.2
1, 40, 1, 37, 0, 2, 42, 1, 8.25, 399.15
0, 33, 4, 31, 1, 1, 25, 0, 9.1, 234.95
1, 21, 3, 17, 1, 2, 9, 0, 2.9, 25.25
1, 33, 2, 19, 1, 4, 13, 1, 5.55, 75.25
1, 37, 2, 36, 1, 1, 56, 1, 10.6, 582.6
0, 53, 2, 155, 1, 5, 71, 1, 21, 1519.2
1, 50, 4, 140, 1, 2, 35, 0, 6.5, 247.55
0, 27, 3, 55, 1, 5, 11, 0, 4.8, 54.1
0, 46, 2, 163, 1, 3, 60, 1, 33.9, 1947.95
0, 35, 2, 52, 1, 4, 20, 1, 4.25, 82.7
0, 60, 1, 211, 0, 4, 54, 1, 21.15, 1228.7
0, 57, 2, 186, 1, 2, 44, 0, 9.8, 428.25
1, 41, 2, 39, 1, 1, 11, 0, 6.55, 67.8
1, 57, 1, 22, 0, 2, 72, 0, 41.75, 3043.05
0, 41, 1, 30, 0, 1, 10, 0, 2.5, 31.25
1, 28, 1, 29, 0, 2, 15, 0, 4.25, 78
0, 28, 5, 23, 1, 2, 27, 0, 6.2, 180.15
0, 36, 6, 62, 1, 4, 9, 1, 5.65, 43.3
1, 43, 4, 76, 1, 4, 64, 0, 14.7, 897.05
0, 41, 2, 74, 1, 4, 65, 1, 14.5, 963.3
0, 51, 5, 63, 1, 4, 49, 1, 12.85, 585.6
0, 41, 2, 36, 1, 4, 47, 1, 7.75, 361
1, 34, 4, 33, 1, 2, 9, 0, 2.95, 18.9
1, 36, 1, 29, 0, 2, 5, 1, 3.25, 16.8
0, 34, 5, 27, 1, 2, 30, 0, 6.3, 150.9
0, 52, 4, 49, 1, 2, 56, 0, 24.75, 1349.05
0, 22, 1, 24, 0, 4, 10, 1, 7.8, 63
0, 26, 5, 26, 1, 2, 7, 0, 4.85, 33.7
0, 27, 2, 47, 0, 3, 52, 1, 6.25, 330.4
1, 45, 5, 94, 1, 2, 36, 0, 7.2, 258.75
1, 34, 1, 21, 0, 3, 27, 0, 7.65, 213.45
0, 62, 2, 27, 1, 1, 58, 0, 15.5, 967.1
1, 52, 1, 30, 0, 2, 41, 0, 10.4, 447.85
1, 40, 4, 127, 1, 4, 47, 1, 19.7, 909.9
1, 39, 2, 137, 1, 2, 55, 0, 12.7, 676.9
1, 50, 4, 80, 1, 2, 56, 0, 28.8, 1558.1
0, 55, 1, 30, 0, 2, 35, 0, 10.25, 395.85
1, 51, 2, 438, 1, 4, 69, 0, 29, 1815.4
0, 39, 1, 79, 0, 2, 44, 1, 15.25, 653.7
0, 47, 2, 63, 1, 1, 36, 0, 9.05, 373.65
1, 51, 6, 40, 1, 3, 28, 0, 8.95, 253.55
0, 67, 2, 51, 1, 1, 72, 0, 57.05, 4168.25
0, 27, 4, 37, 0, 3, 16, 0, 6, 80.7
1, 43, 1, 61, 0, 4, 3, 1, 3.15, 7.9
0, 57, 2, 22, 1, 2, 40, 0, 8.55, 381.5
1, 39, 1, 44, 0, 4, 16, 1, 6.6, 96.3
0, 42, 1, 17, 0, 3, 20, 0, 7.8, 175.85
1, 43, 3, 110, 0, 5, 48, 1, 7.25, 359.35
0, 48, 2, 91, 1, 2, 64, 0, 24.5, 1531.9
0, 46, 1, 46, 0, 2, 8, 1, 3.15, 16.65
0, 38, 2, 85, 1, 3, 40, 0, 10.6, 384.8
0, 71, 1, 10, 0, 2, 38, 0, 11.2, 429.85
1, 68, 1, 244, 0, 1, 67, 0, 30.25, 2186.2
1, 42, 1, 80, 0, 4, 26, 1, 7.85, 196.65
1, 34, 2, 83, 1, 5, 41, 0, 8.9, 379.55
0, 31, 1, 21, 0, 1, 2, 0, 1.65, 3.2
0, 48, 2, 24, 1, 2, 20, 0, 11.85, 230.7
1, 53, 1, 351, 0, 3, 31, 0, 5.5, 185.3
1, 52, 4, 169, 1, 4, 45, 0, 14.65, 618.15
0, 27, 4, 46, 1, 2, 33, 1, 7.25, 243.35
0, 26, 1, 34, 0, 3, 10, 0, 4.85, 41.85
0, 54, 2, 50, 1, 4, 62, 1, 17.25, 1067.8
1, 35, 1, 161, 0, 5, 4, 1, 3.4, 10.35
0, 47, 2, 212, 1, 4, 42, 0, 7.45, 320.9
0, 51, 3, 80, 1, 5, 27, 1, 7.1, 176.2
1, 42, 1, 30, 0, 4, 38, 0, 13.2, 495.85
1, 61, 2, 53, 1, 5, 52, 1, 12.25, 631.7
1, 33, 1, 73, 0, 5, 35, 1, 5.85, 216.6
1, 20, 4, 17, 1, 2, 3, 1, 3.75, 12.3
0, 33, 1, 23, 0, 5, 17, 1, 10.2, 196.3
0, 53, 2, 34, 1, 1, 55, 0, 5.7, 304.4
1, 36, 3, 107, 1, 1, 43, 0, 11.55, 491.55
1, 25, 2, 21, 1, 1, 47, 0, 8.65, 426.6
1, 58, 1, 83, 0, 2, 65, 0, 19.3, 1323.2
0, 20, 5, 17, 0, 3, 13, 1, 3.05, 40.3
1, 25, 6, 76, 1, 3, 64, 1, 24.05, 1536.55
0, 24, 1, 19, 0, 1, 12, 0, 4, 46
1, 32, 3, 49, 1, 4, 29, 1, 6.7, 187
1, 47, 1, 173, 0, 3, 23, 1, 7.6, 145.9
1, 35, 1, 47, 0, 3, 14, 1, 5, 76.2
0, 61, 1, 41, 0, 2, 35, 0, 9.6, 353.55
1, 39, 1, 105, 0, 3, 26, 1, 6.6, 159.7
0, 54, 1, 31, 0, 4, 13, 1, 5.85, 97
0, 40, 3, 41, 1, 2, 69, 0, 25.25, 1725.1
1, 50, 3, 102, 1, 4, 61, 1, 12.6, 760.3
1, 22, 5, 36, 1, 4, 45, 0, 9.95, 412.1
1, 37, 1, 24, 0, 1, 3, 1, 2, 3.05
0, 22, 2, 25, 0, 4, 53, 1, 12.05, 666
1, 42, 1, 68, 0, 2, 59, 0, 17.3, 997.85
1, 34, 1, 20, 0, 3, 13, 0, 4.8, 71.05
0, 31, 1, 48, 0, 1, 31, 0, 3.8, 127.7
1, 29, 5, 40, 1, 2, 40, 0, 13, 502.95
0, 55, 1, 79, 0, 1, 48, 0, 13.8, 668.65
0, 31, 1, 28, 0, 1, 3, 0, 3.45, 13.3
1, 48, 1, 64, 0, 2, 51, 0, 14.8, 708.45
0, 41, 1, 37, 0, 2, 33, 0, 12.2, 415.05
0, 47, 2, 48, 1, 1, 14, 0, 4.25, 55.5
0, 42, 3, 131, 1, 5, 17, 1, 5.8, 103.1
0, 29, 3, 18, 1, 2, 19, 1, 5.4, 108.5
1, 36, 1, 38, 0, 2, 58, 0, 10.15, 538.65
1, 23, 3, 37, 0, 2, 22, 1, 5.35, 144.05
0, 31, 5, 60, 1, 4, 29, 1, 9.6, 243.9
1, 22, 4, 13, 1, 3, 14, 0, 9.45, 117.55
1, 64, 2, 98, 1, 1, 70, 0, 26.15, 1805.1
0, 52, 2, 195, 1, 1, 62, 0, 23.15, 1420.95
0, 35, 5, 47, 1, 1, 7, 0, 5.2, 46.9
0, 47, 3, 65, 1, 2, 56, 0, 12.4, 744.45
1, 50, 4, 150, 1, 5, 50, 1, 19.3, 930.8
0, 39, 1, 106, 0, 5, 57, 0, 9.05, 568.15
1, 40, 1, 51, 0, 4, 2, 1, 4.25, 6.8
1, 38, 1, 96, 0, 4, 40, 0, 9.3, 316.05
0, 43, 2, 33, 0, 5, 6, 0, 4.25, 30
1, 25, 3, 38, 1, 2, 23, 0, 13.9, 255
0, 32, 1, 125, 0, 4, 11, 1, 3.8, 31.75
1, 37, 4, 145, 1, 5, 29, 0, 8.6, 241.45
0, 44, 3, 99, 1, 2, 42, 0, 22.05, 841.55
1, 34, 3, 22, 1, 4, 20, 1, 4.85, 75.45
0, 60, 2, 31, 1, 1, 72, 0, 32.25, 2349.25
1, 36, 1, 25, 0, 1, 2, 0, 1.9, 3.6
1, 25, 2, 57, 0, 5, 46, 1, 20.25, 923.95
0, 51, 6, 41, 1, 5, 39, 1, 12.1, 492.8
1, 25, 2, 20, 1, 3, 24, 0, 8.15, 209.35
1, 43, 5, 101, 1, 2, 59, 0, 13.65, 817.65
0, 37, 1, 56, 0, 2, 65, 0, 10.25, 681.95
1, 27, 3, 22, 1, 2, 50, 0, 17.2, 893.3
1, 37, 1, 108, 0, 4, 57, 0, 21.8, 1292
1, 48, 1, 115, 0, 4, 61, 1, 12.8, 785.7
0, 54, 1, 53, 0, 4, 34, 1, 8.1, 225.4
0, 53, 1, 242, 0, 4, 38, 1, 8.95, 396.35
1, 24, 5, 20, 1, 2, 3, 0, 3.35, 7.55
0, 47, 1, 123, 0, 4, 4, 1, 2.5, 9.25
0, 35, 1, 34, 0, 1, 15, 0, 3.95, 47.95
1, 29, 5, 31, 1, 4, 25, 1, 12.95, 348.9
1, 44, 2, 47, 0, 1, 21, 0, 7.05, 182.3
1, 37, 2, 48, 1, 3, 50, 0, 12.9, 669.75
1, 64, 3, 13, 1, 2, 65, 0, 14.6, 921.7
0, 52, 2, 78, 1, 1, 59, 0, 18.6, 1179.05
1, 26, 2, 34, 0, 1, 29, 0, 6.5, 198.7
1, 46, 1, 81, 0, 5, 60, 1, 17.45, 1067
0, 45, 2, 86, 1, 2, 71, 0, 45.05, 3235.9
0, 27, 4, 26, 1, 4, 38, 1, 12.2, 477.5
1, 34, 5, 51, 1, 2, 16, 0, 4.7, 61.5
0, 31, 1, 59, 0, 3, 7, 1, 2.45, 16.35
0, 53, 1, 112, 0, 4, 59, 1, 21.1, 1236.3
0, 56, 2, 57, 1, 4, 22, 0, 6.2, 135.2
1, 48, 2, 41, 1, 1, 18, 0, 4.35, 59.15
1, 46, 2, 168, 1, 2, 64, 1, 14.2, 928.8
1, 33, 3, 29, 0, 4, 7, 1, 4.65, 35.45
1, 58, 2, 167, 0, 2, 65, 0, 24.3, 1642.35
0, 24, 3, 29, 0, 2, 7, 0, 4.45, 43.7
1, 55, 1, 104, 0, 1, 64, 0, 15, 960.95
0, 22, 2, 46, 1, 4, 42, 0, 9.35, 311.85
1, 26, 3, 46, 0, 4, 33, 1, 11, 350.05
1, 33, 1, 51, 0, 4, 3, 0, 2.9, 12.05
0, 42, 2, 65, 1, 2, 69, 1, 14.2, 1007.5
0, 33, 2, 48, 0, 2, 9, 0, 3.15, 39.75
0, 34, 4, 46, 1, 3, 22, 0, 7.1, 125.05
0, 63, 2, 43, 1, 2, 53, 1, 14.85, 808.95
0, 53, 1, 110, 0, 1, 71, 0, 17.45, 1249.8
0, 26, 3, 32, 0, 3, 24, 1, 4.25, 97.35
1, 22, 2, 18, 1, 3, 12, 1, 4.65, 57.7
0, 39, 4, 26, 1, 4, 25, 1, 14.45, 349.9
1, 28, 6, 34, 1, 2, 63, 0, 15, 934.05
1, 54, 3, 57, 1, 4, 33, 0, 7.5, 226.25
1, 54, 3, 21, 1, 2, 57, 0, 10.6, 565.55
1, 33, 1, 38, 0, 3, 13, 1, 5.05, 48.6
1, 21, 1, 19, 0, 3, 13, 0, 7.9, 98.35
0, 39, 1, 40, 0, 3, 71, 0, 36.25, 2553.7
0, 69, 2, 58, 1, 3, 18, 1, 6.35, 118.05
1, 51, 2, 95, 1, 2, 17, 0, 7.45, 132.9
0, 43, 1, 114, 0, 2, 22, 0, 9.25, 202.8
0, 65, 2, 128, 1, 3, 65, 0, 21.2, 1325.05
1, 40, 1, 33, 0, 4, 7, 1, 2.8, 16.85
1, 66, 1, 460, 0, 4, 72, 0, 89.4, 6353.9
0, 43, 1, 224, 0, 3, 35, 0, 7.7, 271.55
0, 39, 3, 122, 0, 4, 24, 0, 4.45, 98.35
1, 24, 5, 23, 1, 3, 64, 0, 7, 394.6
0, 63, 2, 191, 1, 3, 63, 0, 12.7, 782.45
0, 31, 3, 187, 1, 4, 38, 0, 12.65, 448.75
0, 37, 3, 119, 1, 3, 29, 0, 4.6, 138.7
1, 69, 2, 44, 1, 2, 72, 0, 99.95, 7257.6
1, 27, 2, 15, 1, 3, 10, 1, 7.5, 66.45
1, 64, 1, 674, 0, 4, 72, 0, 49.6, 3535.8
1, 23, 2, 33, 1, 4, 52, 0, 13.1, 757.8
1, 55, 2, 250, 0, 2, 13, 0, 4.1, 50.1
0, 33, 2, 64, 0, 4, 3, 1, 2.15, 6
0, 24, 4, 26, 1, 2, 39, 1, 10.4, 403.5
0, 29, 2, 23, 0, 3, 28, 1, 3.7, 91.95
0, 42, 3, 52, 0, 4, 46, 0, 14.25, 611.65
1, 46, 1, 200, 0, 3, 62, 0, 26.25, 1625.35
0, 33, 2, 28, 1, 1, 23, 0, 6.9, 177.4
0, 25, 3, 19, 1, 5, 23, 1, 6.95, 157.1
0, 61, 2, 76, 1, 3, 72, 0, 54.8, 3983.6
0, 60, 1, 70, 0, 2, 56, 1, 7.75, 397.15
1, 30, 1, 34, 0, 2, 8, 0, 4.25, 28.65
1, 36, 3, 34, 0, 5, 3, 1, 2.7, 7
0, 37, 1, 172, 0, 3, 37, 1, 6.85, 258.5
0, 53, 3, 48, 1, 1, 37, 0, 12.55, 439.55
1, 30, 1, 45, 0, 2, 6, 0, 1.35, 9.95
0, 47, 5, 72, 0, 3, 48, 0, 15.3, 732.35
1, 43, 4, 55, 1, 4, 43, 0, 9.1, 422.7
1, 29, 4, 40, 0, 4, 21, 0, 4.5, 89.1
0, 33, 1, 26, 0, 3, 6, 0, 6.1, 35.1
0, 51, 4, 96, 0, 1, 69, 0, 33.95, 2338.8
0, 33, 1, 54, 0, 1, 22, 0, 11.05, 246.7
1, 40, 3, 47, 1, 2, 28, 0, 8.1, 224.25
0, 47, 2, 142, 1, 1, 71, 0, 32.2, 2237.35
0, 37, 1, 57, 0, 4, 7, 0, 3.8, 23.9
0, 29, 2, 20, 0, 3, 63, 1, 13.3, 867.9
0, 57, 1, 37, 0, 1, 53, 0, 7.7, 363.95
0, 52, 4, 36, 1, 4, 50, 1, 11.95, 616.25
0, 31, 2, 24, 1, 4, 39, 1, 13.9, 505.55
1, 19, 1, 21, 0, 2, 16, 0, 5.25, 70.25
0, 51, 2, 186, 1, 3, 43, 0, 18.9, 856.3
1, 31, 3, 30, 0, 1, 44, 0, 8, 317.9
1, 66, 2, 96, 1, 2, 72, 1, 35.15, 2537.65
0, 76, 1, 15, 0, 1, 61, 0, 18.6, 1168.45
0, 21, 4, 25, 1, 1, 43, 0, 7.6, 334.45
1, 39, 1, 49, 0, 3, 24, 0, 7.45, 177.2
1, 45, 1, 38, 0, 2, 64, 0, 13.75, 918
0, 38, 2, 29, 0, 2, 64, 0, 17.5, 1114.45
1, 26, 1, 55, 0, 2, 24, 0, 7.6, 175.8
1, 55, 3, 64, 1, 3, 33, 0, 5.15, 163.05
1, 33, 5, 42, 1, 4, 33, 0, 8.8, 305.75
0, 40, 1, 134, 0, 4, 2, 1, 3.9, 4.6
1, 48, 5, 82, 1, 1, 42, 1, 9.3, 459
0, 54, 2, 153, 1, 5, 52, 1, 11.05, 555.85
1, 66, 1, 144, 0, 2, 45, 0, 7.75, 338.8
0, 25, 2, 22, 0, 4, 3, 1, 2.85, 7.5
1, 53, 4, 35, 1, 1, 37, 0, 21.3, 788.25
1, 57, 1, 82, 0, 4, 28, 1, 4.05, 71.5
0, 63, 2, 61, 1, 1, 40, 0, 10.9, 470.9
0, 33, 1, 102, 0, 2, 37, 1, 16.3, 646.7
0, 27, 5, 31, 0, 3, 7, 1, 4.15, 30.8
1, 56, 1, 170, 0, 1, 71, 0, 14.2, 1001.2
1, 46, 1, 26, 0, 2, 19, 1, 6.05, 121.7
1, 40, 1, 85, 0, 3, 61, 1, 13.65, 831.15
1, 53, 2, 183, 1, 2, 70, 0, 32.9, 2234.9
1, 55, 2, 67, 1, 1, 60, 0, 10.75, 697.7
1, 45, 2, 42, 1, 1, 48, 0, 9.25, 435.6
0, 63, 2, 31, 1, 1, 8, 0, 2.25, 16.8
0, 58, 4, 96, 1, 2, 58, 0, 12.5, 710.8
0, 24, 5, 24, 1, 3, 16, 0, 9.4, 124.2
1, 33, 1, 53, 0, 2, 33, 0, 5.05, 145.85
1, 25, 1, 18, 0, 1, 39, 0, 6.75, 242.7
0, 51, 2, 43, 0, 4, 62, 1, 27.15, 1632.4
0, 34, 1, 104, 0, 3, 50, 1, 27.5, 1444.45
0, 55, 1, 26, 0, 1, 48, 0, 12.15, 606.1
1, 62, 1, 56, 0, 2, 31, 0, 4.3, 123.5
0, 33, 5, 49, 1, 2, 65, 0, 42.9, 2706.8
1, 58, 1, 80, 0, 1, 36, 0, 8.5, 298.25
1, 46, 1, 318, 0, 3, 61, 0, 28.9, 1796.7
0, 42, 1, 35, 0, 4, 48, 0, 12.9, 589.35
0, 45, 1, 29, 0, 1, 35, 0, 8.4, 300.35
0, 28, 5, 43, 0, 5, 51, 1, 11.15, 623
0, 51, 2, 80, 1, 5, 49, 1, 5.75, 285.4
1, 39, 3, 30, 1, 3, 35, 0, 6.85, 224.85
1, 70, 1, 9, 0, 3, 58, 0, 23.3, 1384.45
0, 35, 5, 23, 1, 2, 23, 0, 6.7, 153.9
1, 39, 2, 58, 1, 4, 26, 0, 8.65, 210.6
1, 37, 4, 52, 1, 1, 38, 0, 12.2, 532.55
1, 66, 2, 14, 1, 3, 35, 0, 4.7, 202.5
1, 50, 1, 110, 0, 2, 37, 0, 9.65, 364.05
0, 43, 2, 60, 1, 2, 48, 0, 15.5, 719.7
0, 43, 5, 123, 1, 3, 13, 1, 3.85, 55.05
0, 63, 2, 15, 1, 5, 72, 0, 20.6, 1547.45
1, 27, 2, 47, 0, 4, 30, 0, 10.75, 296.9
1, 43, 1, 138, 0, 4, 24, 0, 6.65, 130.6
0, 51, 2, 359, 1, 3, 25, 0, 5.75, 163.75
0, 52, 1, 214, 0, 3, 50, 1, 11.5, 610.35
0, 40, 1, 64, 0, 1, 28, 0, 6, 167.65
0, 51, 1, 50, 0, 4, 34, 1, 16.15, 531.35
0, 32, 1, 88, 0, 3, 48, 0, 6.15, 307.65
1, 36, 2, 86, 1, 2, 42, 0, 9.8, 436.45
1, 65, 2, 17, 1, 1, 67, 0, 21.7, 1384.05
0, 41, 3, 25, 1, 2, 17, 1, 6.45, 114.3
0, 38, 2, 46, 1, 2, 29, 1, 8.35, 248.6
1, 61, 1, 361, 0, 1, 66, 0, 12.75, 782
1, 21, 1, 18, 0, 3, 1, 1, 2.7, 2.7
0, 33, 3, 14, 1, 4, 28, 1, 4.55, 145.95
0, 35, 2, 34, 1, 3, 15, 1, 5.15, 110.55
1, 64, 1, 9, 0, 2, 12, 1, 3.8, 52.85
1, 49, 1, 39, 0, 2, 48, 0, 7, 399.75
0, 25, 4, 18, 1, 3, 59, 0, 20.1, 1251.4
0, 26, 2, 25, 1, 4, 8, 1, 3.15, 29.9
1, 52, 1, 46, 0, 5, 45, 1, 9.4, 402.1
1, 39, 4, 94, 1, 4, 25, 0, 3.95, 95.2
0, 44, 2, 26, 1, 3, 21, 0, 7.55, 160.65
1, 68, 3, 335, 1, 1, 17, 0, 3.55, 70.25
0, 45, 1, 25, 0, 3, 41, 1, 7.8, 370.8
1, 45, 2, 99, 1, 3, 13, 0, 8.7, 103.4
1, 26, 5, 30, 1, 2, 1, 1, 1.05, 1.05
1, 31, 3, 35, 1, 2, 3, 1, 4.35, 11
1, 27, 2, 51, 1, 5, 23, 0, 3.9, 94.95
0, 42, 1, 49, 0, 3, 26, 1, 3.5, 82.3
0, 51, 3, 54, 1, 1, 37, 0, 9.55, 323.65
0, 30, 1, 46, 0, 4, 5, 1, 4.3, 17.55
1, 27, 3, 91, 1, 4, 32, 1, 5.5, 189.05
0, 22, 2, 23, 0, 4, 12, 0, 4.05, 33.75
0, 54, 2, 345, 1, 1, 72, 0, 75.45, 5464.6
1, 25, 2, 45, 1, 4, 3, 1, 3, 9.15
0, 43, 1, 53, 0, 2, 54, 0, 14.35, 775.9
1, 26, 1, 14, 0, 2, 26, 1, 7.8, 204.25
1, 36, 1, 67, 0, 5, 14, 0, 14.05, 187.4
0, 51, 1, 49, 0, 3, 22, 1, 9, 150.7
1, 47, 4, 37, 1, 1, 65, 0, 19.05, 1174.6
