이용개월,연령,결혼,소득,교육,성별,가족수,최근구매금액,총구매금액,메일링
period, age, marital, income,education, gender,family,recent,total,mailing
13,44,1,64,4,0,2,3.7,37.45,0
11,33,1,136,5,0,6,4.4,42,0
68,52,1,116,1,1,2,18.15,1300.6,0
33,33,0,33,2,1,1,9.45,288.8,0
23,30,1,30,1,0,4,6.3,157.05,0
41,39,0,78,2,1,1,11.8,487.4,0
45,22,1,19,2,1,5,10.9,504.5,1
38,35,0,76,2,0,3,6.05,239.55,1
45,59,1,166,4,0,5,9.75,449.05,0
68,41,1,72,1,0,3,24.15,1659.7,0
5,33,0,125,4,1,1,4.85,17.25,1
7,35,0,80,2,1,1,7.1,47.45,0
41,38,1,37,2,1,3,8.55,308.7,0
57,54,1,115,4,1,3,15.6,825.35,1
9,46,0,25,1,1,2,4.4,36.8,0
29,38,1,75,5,0,4,5.1,146.25,0
60,57,0,162,2,0,1,16.15,946.9,0
34,48,0,49,2,1,3,6.65,230.8,0
1,24,0,20,1,0,1,1.05,1.05,0
26,29,1,77,4,0,4,6.7,140.95,1
6,30,0,16,3,1,1,3.75,25.65,0
68,52,1,120,1,0,2,20.7,1391.05,0
53,33,0,101,5,1,2,5.3,253.35,1
55,48,1,67,1,0,3,15.05,810.45,0
14,43,1,36,1,0,5,12.5,153.75,0
1,21,0,33,2,1,3,2.2,2.2,0
42,40,0,37,2,1,1,8.25,399.15,1
25,33,1,31,1,0,4,9.1,234.95,0
9,21,1,17,2,1,3,2.9,25.25,0
13,33,1,19,4,1,2,5.55,75.25,1
56,37,1,36,1,1,2,10.6,582.6,1
71,53,1,155,5,0,2,21,1519.2,1
35,50,1,140,2,1,4,6.5,247.55,0
11,27,1,55,5,0,3,4.8,54.1,0
60,46,1,163,3,0,2,33.9,1947.95,1
20,35,1,52,4,0,2,4.25,82.7,1
54,60,0,211,4,0,1,21.15,1228.7,1
44,57,1,186,2,0,2,9.8,428.25,0
11,41,1,39,1,1,2,6.55,67.8,0
72,57,0,22,2,1,1,41.75,3043.05,0
10,41,0,30,1,0,1,2.5,31.25,0
15,28,0,29,2,1,1,4.25,78,0
27,28,1,23,2,0,5,6.2,180.15,0
9,36,1,62,4,0,6,5.65,43.3,1
64,43,1,76,4,1,4,14.7,897.05,0
65,41,1,74,4,0,2,14.5,963.3,1
49,51,1,63,4,0,5,12.85,585.6,1
47,41,1,36,4,0,2,7.75,361,1
9,34,1,33,2,1,4,2.95,18.9,0
5,36,0,29,2,1,1,3.25,16.8,1
30,34,1,27,2,0,5,6.3,150.9,0
56,52,1,49,2,0,4,24.75,1349.05,0
10,22,0,24,4,0,1,7.8,63,1
7,26,1,26,2,0,5,4.85,33.7,0
52,27,0,47,3,0,2,6.25,330.4,1
36,45,1,94,2,1,5,7.2,258.75,0
27,34,0,21,3,1,1,7.65,213.45,0
58,62,1,27,1,0,2,15.5,967.1,0
41,52,0,30,2,1,1,10.4,447.85,0
47,40,1,127,4,1,4,19.7,909.9,1
55,39,1,137,2,1,2,12.7,676.9,0
56,50,1,80,2,1,4,28.8,1558.1,0
35,55,0,30,2,0,1,10.25,395.85,0
69,51,1,438,4,1,2,29,1815.4,0
44,39,0,79,2,0,1,15.25,653.7,1
36,47,1,63,1,0,2,9.05,373.65,0
28,51,1,40,3,1,6,8.95,253.55,0
72,67,1,51,1,0,2,57.05,4168.25,0
16,27,0,37,3,0,4,6,80.7,0
3,43,0,61,4,1,1,3.15,7.9,1
40,57,1,22,2,0,2,8.55,381.5,0
16,39,0,44,4,1,1,6.6,96.3,1
20,42,0,17,3,0,1,7.8,175.85,0
48,43,0,110,5,1,3,7.25,359.35,1
64,48,1,91,2,0,2,24.5,1531.9,0
8,46,0,46,2,0,1,3.15,16.65,1
40,38,1,85,3,0,2,10.6,384.8,0
38,71,0,10,2,0,1,11.2,429.85,0
67,68,0,244,1,1,1,30.25,2186.2,0
26,42,0,80,4,1,1,7.85,196.65,1
41,34,1,83,5,1,2,8.9,379.55,0
2,31,0,21,1,0,1,1.65,3.2,0
20,48,1,24,2,0,2,11.85,230.7,0
31,53,0,351,3,1,1,5.5,185.3,0
45,52,1,169,4,1,4,14.65,618.15,0
33,27,1,46,2,0,4,7.25,243.35,1
10,26,0,34,3,0,1,4.85,41.85,0
62,54,1,50,4,0,2,17.25,1067.8,1
4,35,0,161,5,1,1,3.4,10.35,1
42,47,1,212,4,0,2,7.45,320.9,0
27,51,1,80,5,0,3,7.1,176.2,1
38,42,0,30,4,1,1,13.2,495.85,0
52,61,1,53,5,1,2,12.25,631.7,1
35,33,0,73,5,1,1,5.85,216.6,1
3,20,1,17,2,1,4,3.75,12.3,1
17,33,0,23,5,0,1,10.2,196.3,1
55,53,1,34,1,0,2,5.7,304.4,0
43,36,1,107,1,1,3,11.55,491.55,0
47,25,1,21,1,1,2,8.65,426.6,0
65,58,0,83,2,1,1,19.3,1323.2,0
13,20,0,17,3,0,5,3.05,40.3,1
64,25,1,76,3,1,6,24.05,1536.55,1
12,24,0,19,1,0,1,4,46,0
29,32,1,49,4,1,3,6.7,187,1
23,47,0,173,3,1,1,7.6,145.9,1
14,35,0,47,3,1,1,5,76.2,1
35,61,0,41,2,0,1,9.6,353.55,0
26,39,0,105,3,1,1,6.6,159.7,1
13,54,0,31,4,0,1,5.85,97,1
69,40,1,41,2,0,3,25.25,1725.1,0
61,50,1,102,4,1,3,12.6,760.3,1
45,22,1,36,4,1,5,9.95,412.1,0
3,37,0,24,1,1,1,2,3.05,1
53,22,0,25,4,0,2,12.05,666,1
59,42,0,68,2,1,1,17.3,997.85,0
13,34,0,20,3,1,1,4.8,71.05,0
31,31,0,48,1,0,1,3.8,127.7,0
40,29,1,40,2,1,5,13,502.95,0
48,55,0,79,1,0,1,13.8,668.65,0
3,31,0,28,1,0,1,3.45,13.3,0
51,48,0,64,2,1,1,14.8,708.45,0
33,41,0,37,2,0,1,12.2,415.05,0
14,47,1,48,1,0,2,4.25,55.5,0
17,42,1,131,5,0,3,5.8,103.1,1
19,29,1,18,2,0,3,5.4,108.5,1
58,36,0,38,2,1,1,10.15,538.65,0
22,23,0,37,2,1,3,5.35,144.05,1
29,31,1,60,4,0,5,9.6,243.9,1
14,22,1,13,3,1,4,9.45,117.55,0
70,64,1,98,1,1,2,26.15,1805.1,0
62,52,1,195,1,0,2,23.15,1420.95,0
7,35,1,47,1,0,5,5.2,46.9,0
56,47,1,65,2,0,3,12.4,744.45,0
50,50,1,150,5,1,4,19.3,930.8,1
57,39,0,106,5,0,1,9.05,568.15,0
2,40,0,51,4,1,1,4.25,6.8,1
40,38,0,96,4,1,1,9.3,316.05,0
6,43,0,33,5,0,2,4.25,30,0
23,25,1,38,2,1,3,13.9,255,0
11,32,0,125,4,0,1,3.8,31.75,1
29,37,1,145,5,1,4,8.6,241.45,0
42,44,1,99,2,0,3,22.05,841.55,0
20,34,1,22,4,1,3,4.85,75.45,1
72,60,1,31,1,0,2,32.25,2349.25,0
2,36,0,25,1,1,1,1.9,3.6,0
46,25,0,57,5,1,2,20.25,923.95,1
39,51,1,41,5,0,6,12.1,492.8,1
24,25,1,20,3,1,2,8.15,209.35,0
59,43,1,101,2,1,5,13.65,817.65,0
65,37,0,56,2,0,1,10.25,681.95,0
50,27,1,22,2,1,3,17.2,893.3,0
57,37,0,108,4,1,1,21.8,1292,0
61,48,0,115,4,1,1,12.8,785.7,1
34,54,0,53,4,0,1,8.1,225.4,1
38,53,0,242,4,0,1,8.95,396.35,1
3,24,1,20,2,1,5,3.35,7.55,0
4,47,0,123,4,0,1,2.5,9.25,1
15,35,0,34,1,0,1,3.95,47.95,0
25,29,1,31,4,1,5,12.95,348.9,1
21,44,0,47,1,1,2,7.05,182.3,0
50,37,1,48,3,1,2,12.9,669.75,0
65,64,1,13,2,1,3,14.6,921.7,0
59,52,1,78,1,0,2,18.6,1179.05,0
29,26,0,34,1,1,2,6.5,198.7,0
60,46,0,81,5,1,1,17.45,1067,1
71,45,1,86,2,0,2,45.05,3235.9,0
38,27,1,26,4,0,4,12.2,477.5,1
16,34,1,51,2,1,5,4.7,61.5,0
7,31,0,59,3,0,1,2.45,16.35,1
59,53,0,112,4,0,1,21.1,1236.3,1
22,56,1,57,4,0,2,6.2,135.2,0
18,48,1,41,1,1,2,4.35,59.15,0
64,46,1,168,2,1,2,14.2,928.8,1
7,33,0,29,4,1,3,4.65,35.45,1
65,58,0,167,2,1,2,24.3,1642.35,0
7,24,0,29,2,0,3,4.45,43.7,0
64,55,0,104,1,1,1,15,960.95,0
42,22,1,46,4,0,2,9.35,311.85,0
33,26,0,46,4,1,3,11,350.05,1
3,33,0,51,4,1,1,2.9,12.05,0
69,42,1,65,2,0,2,14.2,1007.5,1
9,33,0,48,2,0,2,3.15,39.75,0
22,34,1,46,3,0,4,7.1,125.05,0
53,63,1,43,2,0,2,14.85,808.95,1
71,53,0,110,1,0,1,17.45,1249.8,0
24,26,0,32,3,0,3,4.25,97.35,1
12,22,1,18,3,1,2,4.65,57.7,1
25,39,1,26,4,0,4,14.45,349.9,1
63,28,1,34,2,1,6,15,934.05,0
33,54,1,57,4,1,3,7.5,226.25,0
57,54,1,21,2,1,3,10.6,565.55,0
13,33,0,38,3,1,1,5.05,48.6,1
13,21,0,19,3,1,1,7.9,98.35,0
71,39,0,40,3,0,1,36.25,2553.7,0
18,69,1,58,3,0,2,6.35,118.05,1
17,51,1,95,2,1,2,7.45,132.9,0
22,43,0,114,2,0,1,9.25,202.8,0
65,65,1,128,3,0,2,21.2,1325.05,0
7,40,0,33,4,1,1,2.8,16.85,1
72,66,0,460,4,1,1,89.4,6353.9,0
35,43,0,224,3,0,1,7.7,271.55,0
24,39,0,122,4,0,3,4.45,98.35,0
64,24,1,23,3,1,5,7,394.6,0
63,63,1,191,3,0,2,12.7,782.45,0
38,31,1,187,4,0,3,12.65,448.75,0
29,37,1,119,3,0,3,4.6,138.7,0
72,69,1,44,2,1,2,99.95,7257.6,0
10,27,1,15,3,1,2,7.5,66.45,1
72,64,0,674,4,1,1,49.6,3535.8,0
52,23,1,33,4,1,2,13.1,757.8,0
13,55,0,250,2,1,2,4.1,50.1,0
3,33,0,64,4,0,2,2.15,6,1
39,24,1,26,2,0,4,10.4,403.5,1
28,29,0,23,3,0,2,3.7,91.95,1
46,42,0,52,4,0,3,14.25,611.65,0
62,46,0,200,3,1,1,26.25,1625.35,0
23,33,1,28,1,0,2,6.9,177.4,0
23,25,1,19,5,0,3,6.95,157.1,1
72,61,1,76,3,0,2,54.8,3983.6,0
56,60,0,70,2,0,1,7.75,397.15,1
8,30,0,34,2,1,1,4.25,28.65,0
3,36,0,34,5,1,3,2.7,7,1
37,37,0,172,3,0,1,6.85,258.5,1
37,53,1,48,1,0,3,12.55,439.55,0
6,30,0,45,2,1,1,1.35,9.95,0
48,47,0,72,3,0,5,15.3,732.35,0
43,43,1,55,4,1,4,9.1,422.7,0
21,29,0,40,4,1,4,4.5,89.1,0
6,33,0,26,3,0,1,6.1,35.1,0
69,51,0,96,1,0,4,33.95,2338.8,0
22,33,0,54,1,0,1,11.05,246.7,0
28,40,1,47,2,1,3,8.1,224.25,0
71,47,1,142,1,0,2,32.2,2237.35,0
7,37,0,57,4,0,1,3.8,23.9,0
63,29,0,20,3,0,2,13.3,867.9,1
53,57,0,37,1,0,1,7.7,363.95,0
50,52,1,36,4,0,4,11.95,616.25,1
39,31,1,24,4,0,2,13.9,505.55,1
16,19,0,21,2,1,1,5.25,70.25,0
43,51,1,186,3,0,2,18.9,856.3,0
44,31,0,30,1,1,3,8,317.9,0
72,66,1,96,2,1,2,35.15,2537.65,1
61,76,0,15,1,0,1,18.6,1168.45,0
43,21,1,25,1,0,4,7.6,334.45,0
24,39,0,49,3,1,1,7.45,177.2,0
64,45,0,38,2,1,1,13.75,918,0
64,38,0,29,2,0,2,17.5,1114.45,0
24,26,0,55,2,1,1,7.6,175.8,0
33,55,1,64,3,1,3,5.15,163.05,0
33,33,1,42,4,1,5,8.8,305.75,0
2,40,0,134,4,0,1,3.9,4.6,1
42,48,1,82,1,1,5,9.3,459,1
52,54,1,153,5,0,2,11.05,555.85,1
45,66,0,144,2,1,1,7.75,338.8,0
3,25,0,22,4,0,2,2.85,7.5,1
37,53,1,35,1,1,4,21.3,788.25,0
28,57,0,82,4,1,1,4.05,71.5,1
40,63,1,61,1,0,2,10.9,470.9,0
37,33,0,102,2,0,1,16.3,646.7,1
7,27,0,31,3,0,5,4.15,30.8,1
71,56,0,170,1,1,1,14.2,1001.2,0
19,46,0,26,2,1,1,6.05,121.7,1
61,40,0,85,3,1,1,13.65,831.15,1
70,53,1,183,2,1,2,32.9,2234.9,0
60,55,1,67,1,1,2,10.75,697.7,0
48,45,1,42,1,1,2,9.25,435.6,0
8,63,1,31,1,0,2,2.25,16.8,0
58,58,1,96,2,0,4,12.5,710.8,0
16,24,1,24,3,0,5,9.4,124.2,0
33,33,0,53,2,1,1,5.05,145.85,0
39,25,0,18,1,1,1,6.75,242.7,0
62,51,0,43,4,0,2,27.15,1632.4,1
50,34,0,104,3,0,1,27.5,1444.45,1
48,55,0,26,1,0,1,12.15,606.1,0
31,62,0,56,2,1,1,4.3,123.5,0
65,33,1,49,2,0,5,42.9,2706.8,0
36,58,0,80,1,1,1,8.5,298.25,0
61,46,0,318,3,1,1,28.9,1796.7,0
48,42,0,35,4,0,1,12.9,589.35,0
35,45,0,29,1,0,1,8.4,300.35,0
51,28,0,43,5,0,5,11.15,623,1
49,51,1,80,5,0,2,5.75,285.4,1
35,39,1,30,3,1,3,6.85,224.85,0
58,70,0,9,3,1,1,23.3,1384.45,0
23,35,1,23,2,0,5,6.7,153.9,0
26,39,1,58,4,1,2,8.65,210.6,0
38,37,1,52,1,1,4,12.2,532.55,0
35,66,1,14,3,1,2,4.7,202.5,0
37,50,0,110,2,1,1,9.65,364.05,0
48,43,1,60,2,0,2,15.5,719.7,0
13,43,1,123,3,0,5,3.85,55.05,1
72,63,1,15,5,0,2,20.6,1547.45,0
30,27,0,47,4,1,2,10.75,296.9,0
24,43,0,138,4,1,1,6.65,130.6,0
25,51,1,359,3,0,2,5.75,163.75,0
50,52,0,214,3,0,1,11.5,610.35,1
28,40,0,64,1,0,1,6,167.65,0
34,51,0,50,4,0,1,16.15,531.35,1
48,32,0,88,3,0,1,6.15,307.65,0
42,36,1,86,2,1,2,9.8,436.45,0
67,65,1,17,1,1,2,21.7,1384.05,0
17,41,1,25,2,0,3,6.45,114.3,1
29,38,1,46,2,0,2,8.35,248.6,1
66,61,0,361,1,1,1,12.75,782,0
1,21,0,18,3,1,1,2.7,2.7,1
28,33,1,14,4,0,3,4.55,145.95,1
15,35,1,34,3,0,2,5.15,110.55,1
12,64,0,9,2,1,1,3.8,52.85,1
48,49,0,39,2,1,1,7,399.75,0
59,25,1,18,3,0,4,20.1,1251.4,0
8,26,1,25,4,0,2,3.15,29.9,1
45,52,0,46,5,1,1,9.4,402.1,1
25,39,1,94,4,1,4,3.95,95.2,0
21,44,1,26,3,0,2,7.55,160.65,0
17,68,1,335,1,1,3,3.55,70.25,0
41,45,0,25,3,0,1,7.8,370.8,1
13,45,1,99,3,1,2,8.7,103.4,0
1,26,1,30,2,1,5,1.05,1.05,1
3,31,1,35,2,1,3,4.35,11,1
23,27,1,51,5,1,2,3.9,94.95,0
26,42,0,49,3,0,1,3.5,82.3,1
37,51,1,54,1,0,3,9.55,323.65,0
5,30,0,46,4,0,1,4.3,17.55,1
32,27,1,91,4,1,3,5.5,189.05,1
12,22,0,23,4,0,2,4.05,33.75,0
72,54,1,345,1,0,2,75.45,5464.6,0
3,25,1,45,4,1,2,3,9.15,1
54,43,0,53,2,0,1,14.35,775.9,0
26,26,0,14,2,1,1,7.8,204.25,1
14,36,0,67,5,1,1,14.05,187.4,0
22,51,0,49,3,0,1,9,150.7,1
65,47,1,37,1,1,4,19.05,1174.6,0
26,45,0,33,1,0,1,9.6,285.35,0
20,37,0,46,3,1,4,4.9,91.55,1
67,60,1,93,1,0,4,18.85,1200.7,1
34,55,0,48,2,0,1,4.25,143.35,0
37,54,1,183,2,0,3,7.3,257.6,0
22,23,1,16,1,0,4,5.4,120.4,0
5,69,0,11,2,0,1,6.65,35.2,0
28,31,1,42,4,1,3,12.25,373.8,0
20,41,1,67,4,1,4,7.25,149.1,0
72,41,0,181,4,0,1,27.3,1963.95,1
30,43,0,53,4,0,1,7,232.9,1
71,52,0,172,2,0,1,49.25,3599.3,0
56,44,0,87,2,0,1,14.75,822.25,0
8,29,1,21,5,0,2,4.15,39.7,0
32,65,0,9,2,1,1,6.25,201.35,1
46,47,0,144,3,1,2,3.5,179.95,0
60,45,1,117,4,0,3,12.4,755.7,1
42,32,1,59,4,1,6,16.7,681.5,0
71,60,1,508,4,0,4,23.55,1665.6,0
72,63,1,222,2,1,2,81.55,5988.5,0
45,66,0,87,3,1,1,6.05,306.9,0
5,31,0,34,1,0,1,1.6,6.15,0
17,38,1,18,4,1,4,8.55,162.25,0
70,55,0,65,3,0,1,26.7,1874.25,0
57,57,1,130,3,1,2,13.55,849,1
20,33,0,44,3,1,1,6.4,124.45,1
72,52,1,63,1,0,3,41.95,3114.75,0
32,50,0,57,4,0,1,4.6,123,0
22,57,1,264,1,1,2,3,68.35,0
6,24,0,28,1,0,2,4.4,35.1,0
32,23,1,26,3,1,6,11,325,0
38,33,0,38,4,0,1,10.95,412.8,1
53,35,0,59,3,1,1,16.85,888.45,0
37,76,0,117,4,1,1,7.5,273.7,0
47,35,1,70,4,1,2,10.75,551,1
69,59,0,104,2,0,1,16,1120.75,0
63,56,0,71,3,1,1,18.4,1162.9,0
61,34,1,70,3,1,3,18.85,1230.7,1
56,38,1,56,4,0,2,25.1,1418.35,1
40,57,1,68,1,0,2,13.35,572.4,0
61,45,0,80,2,1,1,18.1,1114.75,0
16,26,0,21,4,0,6,3.55,56.85,1
7,43,0,69,3,1,1,4.45,36.85,0
20,31,1,39,2,1,2,7.75,148.75,0
35,38,0,90,2,0,4,6.8,245.95,1
60,37,1,64,5,1,2,14.85,978.35,0
47,25,0,28,2,0,1,7.75,315.9,1
33,28,1,24,2,1,6,7.5,224.25,1
12,34,0,44,2,0,1,4.05,48.85,0
10,31,0,32,4,1,2,5.4,60.15,1
69,33,1,52,4,1,3,29.95,2142.8,0
23,20,0,15,3,1,1,7.5,199.65,0
53,31,0,46,3,0,2,27.1,1408.35,0
60,57,1,107,2,1,2,17.55,1035.2,0
33,33,0,56,2,0,1,13.45,470.9,0
67,40,1,40,4,1,4,24.35,1585.85,1
15,38,1,56,3,0,3,5.4,76.75,0
64,31,1,46,2,1,4,24.15,1546.55,1
46,49,1,51,2,0,2,7.25,329.95,0
72,60,1,12,1,0,3,53.75,3776.1,0
61,43,1,34,5,0,3,25.05,1541.9,1
54,27,0,27,2,1,5,12.4,660.85,1
28,36,0,42,3,1,1,12.9,363.65,0
28,38,0,119,5,0,3,5.05,141.95,1
32,43,0,146,1,1,1,18.3,546.35,0
52,46,0,51,2,1,3,12.5,638.7,0
48,62,0,86,1,1,1,16.35,729.3,1
52,42,1,27,3,1,2,19.65,1008.8,0
37,43,0,38,3,0,1,8.1,289.75,0
41,52,0,928,3,0,3,7.65,344,0
43,27,1,21,2,1,3,12.65,558.85,0
67,60,0,24,1,1,1,25.1,1659.1,0
61,52,1,91,1,1,2,13.8,840.15,0
70,39,1,38,2,1,4,30.3,2201,0
44,32,1,96,4,1,4,5.25,213.45,1
46,45,0,96,3,0,1,10.95,504.3,1
39,34,0,54,3,0,1,6.5,265.45,0
39,59,0,1668,4,1,1,8.2,303.95,0
50,29,1,53,4,1,4,13.2,593.35,0
5,31,0,21,3,1,2,2.6,16.1,1
10,34,0,52,5,1,1,4.3,47.45,1
72,69,0,17,3,1,1,38.2,2751.65,0
68,60,0,262,2,1,1,31.6,2112.25,0
58,28,0,34,5,1,1,19.9,1144.6,1
18,44,1,107,1,1,7,2.25,41.8,0
65,45,1,67,5,1,2,9.85,671.2,0
8,45,0,37,4,0,1,4.65,64.45,1
1,20,0,21,2,1,2,0.9,0.9,1
42,58,0,22,1,1,1,3.6,166.75,0
4,25,1,71,3,1,5,3.6,14.95,1
17,35,0,77,3,1,1,8.1,144.4,0
8,24,1,18,4,1,5,2.95,16.8,1
49,37,1,50,2,1,2,4.2,243.1,0
56,46,1,33,4,0,2,22.7,1257.4,1
62,57,1,94,1,0,2,11.95,757.6,1
42,57,1,209,1,1,4,9.45,383.45,0
13,32,0,31,4,0,2,5.05,64.85,0
69,46,1,66,2,0,4,21.85,1589.1,0
45,59,0,51,1,0,2,5.95,236.3,0
66,42,1,118,2,0,2,26.8,1774.75,0
15,35,0,25,2,0,1,4.75,41.4,1
41,44,1,59,3,1,3,12.1,479.95,1
11,20,0,20,2,1,1,4.75,48,1
45,30,1,63,5,0,4,7.1,314.8,1
52,62,0,36,4,0,1,13.35,709.25,0
42,56,0,72,4,1,1,8,336.9,1
48,35,0,50,1,0,3,12.85,622.75,0
4,31,0,39,2,0,2,4.9,19.65,1
53,64,1,54,2,1,2,9.65,483.55,1
1,59,0,9,1,0,1,3.8,3.8,0
19,30,1,33,4,0,3,4.05,79.45,1
33,30,0,28,1,0,1,7.4,246.55,0
42,36,1,44,2,0,3,7,321.95,0
60,32,0,34,4,1,2,23.95,1513,0
57,51,1,68,4,1,3,16.05,930.4,0
64,39,0,37,1,0,1,10.2,640.75,0
28,20,1,18,3,0,3,7.7,190.05,1
29,35,1,55,2,0,4,15.65,477.95,0
46,31,1,21,1,0,5,8.95,369.95,0
22,41,1,29,3,0,4,12.75,274.85,0
10,56,0,9,2,0,2,3.2,36.9,0
50,41,0,138,2,1,1,12.35,585.05,1
55,65,0,28,4,1,1,18.6,1007.3,0
15,54,0,62,1,0,1,3.15,54.25,0
31,32,1,37,3,1,3,4.6,140.55,0
5,44,0,83,1,1,1,4.65,12.3,0
69,63,0,168,1,1,2,14.5,1020.3,0
26,27,1,33,4,0,6,5.85,114.55,1
10,33,1,66,3,1,4,7.1,59.3,0
26,30,0,18,4,0,3,7.25,171.85,0
25,30,0,20,1,1,1,8.55,215.95,0
30,23,1,19,3,0,4,7.9,253.05,1
21,39,1,25,2,0,4,8.5,175.3,0
71,46,0,119,5,1,1,42.85,3080.85,1
11,48,1,323,4,0,4,5.25,48.5,0
24,30,1,45,1,1,2,6,134.7,0
65,59,1,197,4,0,2,45.4,2973.55,1
16,34,1,56,3,1,3,9.35,157,0
37,51,1,24,4,0,2,8.2,288.4,1
5,30,0,25,3,0,1,2.4,25.45,0
3,55,1,26,5,1,2,6.4,22.4,1
5,32,0,33,4,0,2,3.2,24.55,1
60,44,1,150,2,0,2,20,1207.3,1
19,37,1,99,2,1,3,8,142.05,1
54,40,0,50,4,1,2,22.8,1266.1,1
25,41,0,81,3,1,4,7.4,193.65,0
1,36,0,21,1,0,2,1.35,1.35,1
54,68,0,273,3,1,1,18.35,1003.2,1
14,31,1,39,3,1,7,4.4,60.65,0
14,28,1,17,2,0,4,5.8,86.75,1
10,45,1,115,3,1,4,5.7,52.95,1
7,23,0,27,2,1,3,3.65,21,0
33,45,0,35,1,0,1,5.65,205.75,0
3,23,0,20,2,0,1,4.65,11.2,1
56,58,1,92,1,0,3,8.25,476.7,0
54,56,0,207,2,1,1,9,464.65,0
72,55,1,40,1,0,5,34.25,2472.65,0
18,29,0,40,2,0,1,9.5,196.2,0
25,29,0,55,4,0,1,5.25,147.95,1
42,62,0,26,1,1,1,8.75,337.75,1
4,37,0,41,2,0,1,2.8,5.3,0
12,50,1,203,4,0,2,4.95,71.5,1
53,64,1,380,2,1,2,12.85,687.9,0
13,38,1,104,4,0,7,10.25,160.4,1
18,31,1,24,3,0,4,12.15,202.2,1
